,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,1700,2200,-1,
1,2,1,1,0,0,0,1059,111,192,20,-1,
2,3,1,1,1,0,0,1059,111,192,20,-1,
3,4,1,1,1,1,0,1059,111,192,20,-1,
4,5,1,1,1,1,1,1059,111,192,20,91,US010136240B2
5,2,1,2,0,0,0,214,290,1249,6,-1,
6,3,1,2,1,0,0,214,290,1249,6,-1,
7,4,1,2,1,1,0,214,290,1249,6,-1,
8,5,1,2,1,1,1,214,290,1249,6,95, 
9,2,1,3,0,0,0,216,195,1246,371,-1,
10,3,1,3,1,0,0,216,195,1245,164,-1,
11,4,1,3,1,1,0,337,195,8,8,-1,
12,5,1,3,1,1,1,337,195,8,8,0,*
13,4,1,3,1,2,0,216,195,1245,41,-1,
14,5,1,3,1,2,1,216,212,39,22,72,a2)
15,5,1,3,1,2,2,271,196,142,34,96,United
16,5,1,3,1,2,3,433,195,124,35,96,States
17,5,1,3,1,2,4,576,196,137,34,96,Patent
18,5,1,3,1,2,5,898,212,40,23,91,(10)
19,5,1,3,1,2,6,952,207,91,23,96,Patent
20,5,1,3,1,2,7,1056,207,57,23,63,No:
21,5,1,3,1,2,8,1169,202,48,28,90,US
22,5,1,3,1,2,9,1233,202,171,34,93,"10,136,240"
23,5,1,3,1,2,10,1418,202,43,27,92,B2
24,4,1,3,1,3,0,271,246,1185,30,-1,
25,5,1,3,1,3,1,271,246,37,23,96,De
26,5,1,3,1,3,2,321,246,70,30,96,Burgh
27,5,1,3,1,3,3,393,246,43,23,96,et
28,5,1,3,1,3,4,438,246,54,23,96,al.
29,5,1,3,1,3,5,898,251,40,23,95,(45)
30,5,1,3,1,3,6,952,246,65,23,96,Date
31,5,1,3,1,3,7,1030,246,29,23,96,of
32,5,1,3,1,3,8,1068,246,100,23,96,Patent:
33,5,1,3,1,3,9,1267,246,57,23,96,Nov.
34,5,1,3,1,3,10,1325,246,57,29,95,"20,"
35,5,1,3,1,3,11,1392,246,64,23,96,2018
36,4,1,3,1,4,0,216,334,797,25,-1,
37,5,1,3,1,4,1,216,337,39,22,73,(54)
38,5,1,3,1,4,2,282,337,161,17,73,PROCESSING
39,5,1,3,1,4,3,451,337,82,17,96,AUDIO
40,5,1,3,1,4,4,543,337,66,17,95,DATA
41,5,1,3,1,4,5,617,337,33,17,96,TO
42,5,1,3,1,4,6,865,334,40,23,77,(52)
43,5,1,3,1,4,7,931,335,43,17,83,US.
44,5,1,3,1,4,8,984,335,29,17,85,CL
45,3,1,3,2,0,0,282,362,1180,51,-1,
46,4,1,3,2,1,0,282,362,1180,23,-1,
47,5,1,3,2,1,1,282,366,172,17,96,COMPENSATE
48,5,1,3,2,1,2,465,366,52,17,95,FOR
49,5,1,3,2,1,3,526,366,108,17,95,PARTIAL
50,5,1,3,2,1,4,642,366,118,17,96,HEARING
51,5,1,3,2,1,5,931,363,45,17,87,CPC
52,5,1,3,2,1,6,990,377,91,3,27,wee
53,5,1,3,2,1,7,1104,363,59,17,51,HO04S
54,5,1,3,2,1,8,1175,363,52,17,94,7/303
55,5,1,3,2,1,9,1237,362,103,23,95,(2013.01);
56,5,1,3,2,1,10,1349,363,61,17,54,HOAR
57,5,1,3,2,1,11,1419,363,43,17,96,5/02
58,4,1,3,2,2,0,282,390,1180,23,-1,
59,5,1,3,2,2,1,282,395,62,17,96,LOSS
60,5,1,3,2,2,2,354,395,37,17,95,OR
61,5,1,3,2,2,3,398,395,36,17,95,AN
62,5,1,3,2,2,4,441,395,118,17,95,ADVERSE
63,5,1,3,2,2,5,569,395,118,17,96,HEARING
64,5,1,3,2,2,6,1114,390,103,23,92,(2013.01);
65,5,1,3,2,2,7,1226,391,60,17,69,HO4S
66,5,1,3,2,2,8,1293,391,57,17,96,3/008
67,5,1,3,2,2,9,1359,390,103,23,80,(2013.01):
68,3,1,3,3,0,0,282,424,941,22,-1,
69,4,1,3,3,1,0,282,424,941,22,-1,
70,5,1,3,3,1,1,282,424,192,17,96,ENVIRONMENT
71,5,1,3,3,1,2,1104,424,119,22,96,(Continued)
72,3,1,3,4,0,0,865,455,380,23,-1,
73,4,1,3,4,1,0,865,455,380,23,-1,
74,5,1,3,4,1,1,865,455,40,23,84,(58)
75,5,1,3,4,1,2,931,456,53,17,79,Field
76,5,1,3,4,1,3,994,456,21,17,96,of
77,5,1,3,4,1,4,1022,456,142,17,96,Classification
78,5,1,3,4,1,5,1174,456,71,17,96,Search
79,3,1,3,5,0,0,216,478,1246,54,-1,
80,4,1,3,5,1,0,216,478,1246,27,-1,
81,5,1,3,5,1,1,216,478,39,22,69,(71)
82,5,1,3,5,1,2,281,478,103,23,78,Applicant:
83,5,1,3,5,1,3,398,478,63,23,95,Dolby
84,5,1,3,5,1,4,471,478,137,17,96,Laboratories
85,5,1,3,5,1,5,618,478,101,23,96,Licensing
86,5,1,3,5,1,6,931,484,45,17,51,CPC
87,5,1,3,5,1,7,990,498,78,3,0,vececssssee
88,5,1,3,5,1,8,1083,484,55,17,44,H04S
89,5,1,3,5,1,9,1148,483,87,22,92,2400/01;
90,5,1,3,5,1,10,1245,484,55,17,75,HO4S
91,5,1,3,5,1,11,1311,483,85,22,91,2400/11;
92,5,1,3,5,1,12,1407,484,55,17,46,HO4S
93,4,1,3,5,2,0,398,506,1064,26,-1,
94,5,1,3,5,2,1,398,507,138,22,96,"Corporation,"
95,5,1,3,5,2,2,547,507,36,17,96,San
96,5,1,3,5,2,3,591,506,102,22,96,"Francisco,"
97,5,1,3,5,2,4,703,507,35,17,96,CA
98,5,1,3,5,2,5,745,507,47,22,96,(US)
99,5,1,3,5,2,6,1100,510,87,22,92,2400/13;
100,5,1,3,5,2,7,1197,511,55,17,70,HO4S
101,5,1,3,5,2,8,1263,510,61,22,93,7/308;
102,5,1,3,5,2,9,1335,511,55,17,52,H04S
103,5,1,3,5,2,10,1400,510,62,22,88,7/303;
104,3,1,3,6,0,0,1104,544,119,22,-1,
105,4,1,3,6,1,0,1104,544,119,22,-1,
106,5,1,3,6,1,1,1104,544,119,22,96,(Continued)
107,2,1,4,0,0,0,216,560,1038,82,-1,
108,3,1,4,1,0,0,216,560,1038,82,-1,
109,4,1,4,1,1,0,216,560,578,23,-1,
110,5,1,4,1,1,1,216,561,39,22,75,(72)
111,5,1,4,1,1,2,282,561,98,17,75,Inventors:
112,5,1,4,1,1,3,398,561,61,17,96,Mark
113,5,1,4,1,1,4,467,561,63,17,95,David
114,5,1,4,1,1,5,539,561,28,17,96,De
115,5,1,4,1,1,6,577,561,72,22,96,"Burgh,"
116,5,1,4,1,1,7,659,561,66,17,93,Mount
117,5,1,4,1,1,8,734,560,60,18,92,Colah
118,4,1,4,1,2,0,398,590,384,23,-1,
119,5,1,4,1,2,1,398,590,58,22,95,(AU);
120,5,1,4,1,2,2,467,590,32,17,95,Tet
121,5,1,4,1,2,3,508,590,33,17,96,Fei
122,5,1,4,1,2,4,548,590,47,23,96,"Yap,"
123,5,1,4,1,2,5,605,590,49,17,96,Lane
