,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,1653,2328,-1,
1,2,1,1,0,0,0,144,1905,31,328,-1,
2,3,1,1,1,0,0,144,1905,31,328,-1,
3,4,1,1,1,1,0,144,1905,31,328,-1,
4,5,1,1,1,1,1,144,2179,30,54,95,EP
5,5,1,1,1,1,2,144,2142,31,21,95,3
6,5,1,1,1,1,3,144,2055,31,71,95,386
7,5,1,1,1,1,4,144,1967,31,71,89,154
8,5,1,1,1,1,5,144,1905,30,50,89,A1
9,2,1,2,0,0,0,429,153,88,28,-1,
10,3,1,2,1,0,0,429,153,88,28,-1,
11,4,1,2,1,1,0,429,153,88,16,-1,
12,5,1,2,1,1,1,429,153,88,16,84,Europaisches
13,4,1,2,1,2,0,429,170,71,11,-1,
14,5,1,2,1,2,1,429,170,71,11,96,Patentamt
15,2,1,3,0,0,0,429,196,63,15,-1,
16,3,1,3,1,0,0,429,196,63,15,-1,
17,4,1,3,1,1,0,429,196,63,15,-1,
18,5,1,3,1,1,1,429,196,63,15,95,European
19,2,1,4,0,0,0,429,212,89,12,-1,
20,3,1,4,1,0,0,429,212,89,12,-1,
21,4,1,4,1,1,0,429,212,89,12,-1,
22,5,1,4,1,1,1,429,213,43,11,97,Patent
23,5,1,4,1,1,2,478,212,40,12,96,Office
24,2,1,5,0,0,0,429,239,109,28,-1,
25,3,1,5,1,0,0,429,239,109,28,-1,
26,4,1,5,1,1,0,429,239,109,15,-1,
27,5,1,5,1,1,1,429,239,40,12,93,Office
28,5,1,5,1,1,2,474,239,64,15,93,européen
29,4,1,5,1,2,0,429,255,77,12,-1,
30,5,1,5,1,2,1,429,255,22,12,95,des
31,5,1,5,1,2,2,457,255,49,12,82,brevets
32,2,1,6,0,0,0,281,136,274,150,-1,
33,3,1,6,1,0,0,281,136,274,150,-1,
34,4,1,6,1,1,0,281,136,274,150,-1,
35,5,1,6,1,1,1,281,136,274,150,95, 
36,2,1,7,0,0,0,225,324,45,26,-1,
37,3,1,7,1,0,0,225,324,45,26,-1,
38,4,1,7,1,1,0,225,324,45,26,-1,
39,5,1,7,1,1,1,225,324,45,26,96,(12)
40,2,1,8,0,0,0,225,395,412,53,-1,
41,3,1,8,1,0,0,225,395,412,53,-1,
42,4,1,8,1,1,0,225,395,282,26,-1,
43,5,1,8,1,1,1,225,395,45,26,92,(43)
44,5,1,8,1,1,2,285,397,222,23,90,Verdffentlichungstag:
45,4,1,8,1,2,0,287,430,350,18,-1,
46,5,1,8,1,2,1,287,430,116,18,91,10.10.2018
47,5,1,8,1,2,2,426,430,121,18,91,Patentblatt
48,5,1,8,1,2,3,555,430,82,18,96,2018/41
49,2,1,9,0,0,0,225,493,379,26,-1,
50,3,1,9,1,0,0,225,493,379,26,-1,
51,4,1,9,1,1,0,225,493,379,26,-1,
52,5,1,9,1,1,1,225,493,45,26,91,(21)
53,5,1,9,1,1,2,285,495,186,18,91,Anmeldenummer:
54,5,1,9,1,1,3,481,495,123,18,92,18163297.7
55,2,1,10,0,0,0,225,559,319,26,-1,
56,3,1,10,1,0,0,225,559,319,26,-1,
57,4,1,10,1,1,0,225,559,319,26,-1,
58,5,1,10,1,1,1,225,559,45,26,93,(22)
59,5,1,10,1,1,2,285,561,131,23,92,Anmeldetag:
60,5,1,10,1,1,3,426,561,118,18,96,22.03.2018
61,2,1,11,0,0,0,1002,245,458,38,-1,
62,3,1,11,1,0,0,1002,245,458,38,-1,
63,4,1,11,1,1,0,1002,245,458,38,-1,
64,5,1,11,1,1,1,1002,256,44,27,74,(11)
65,5,1,11,1,1,2,1146,245,52,32,94,EP
66,5,1,11,1,1,3,1214,245,20,32,95,3
67,5,1,11,1,1,4,1249,245,68,32,95,386
68,5,1,11,1,1,5,1333,245,67,32,85,154
69,5,1,11,1,1,6,1413,245,47,32,85,A1
70,2,1,12,0,0,0,559,314,573,31,-1,
71,3,1,12,1,0,0,559,314,573,31,-1,
72,4,1,12,1,1,0,559,314,573,31,-1,
73,5,1,12,1,1,1,559,314,230,31,92,EUROPAISCHE
74,5,1,12,1,1,2,802,319,330,26,91,PATENTANMELDUNG
75,2,1,13,0,0,0,862,395,256,81,-1,
76,3,1,13,1,0,0,862,395,256,81,-1,
77,4,1,13,1,1,0,862,395,126,26,-1,
78,5,1,13,1,1,1,862,395,44,26,67,(51)
79,5,1,13,1,1,2,923,397,25,18,93,Int
80,5,1,13,1,1,3,955,397,33,18,65,Cl:
81,4,1,13,1,2,0,922,425,196,21,-1,
82,5,1,13,1,2,1,922,428,57,18,70,HO4L
83,5,1,13,1,2,2,989,428,44,18,92,12/28
84,5,1,13,1,2,3,1034,425,84,21,84,(2006.07)
85,4,1,13,1,3,0,922,455,196,21,-1,
86,5,1,13,1,3,1,922,458,56,18,88,HO4L
87,5,1,13,1,3,2,987,458,46,18,93,29/06
88,5,1,13,1,3,3,1034,455,84,21,78,(2006.07)
89,2,1,14,0,0,0,1193,425,204,51,-1,
90,3,1,14,1,0,0,1193,425,204,51,-1,
91,4,1,14,1,1,0,1193,425,197,21,-1,
92,5,1,14,1,1,1,1193,428,57,18,44,HO4L
93,5,1,14,1,1,2,1260,428,57,18,87,12/24
94,5,1,14,1,1,3,1323,425,67,16,77,(2006.07)
95,4,1,14,1,2,0,1193,455,204,21,-1,
96,5,1,14,1,2,1,1193,458,68,18,89,HO4W
97,5,1,14,1,2,2,1268,458,57,18,76,12108
98,5,1,14,1,2,3,1330,455,67,16,80,(2009.07)
99,2,1,15,0,0,0,224,611,1244,8,-1,
100,3,1,15,1,0,0,224,611,1244,8,-1,
101,4,1,15,1,1,0,224,611,1244,8,-1,
102,5,1,15,1,1,1,224,611,1244,8,95, 
103,2,1,16,0,0,0,225,631,599,250,-1,
104,3,1,16,1,0,0,225,631,599,250,-1,
105,4,1,16,1,1,0,225,631,342,27,-1,
106,5,1,16,1,1,1,225,631,45,27,93,(84)
107,5,1,16,1,1,2,286,633,100,19,93,Benannte
108,5,1,16,1,1,3,393,633,174,23,92,Vertragsstaaten:
109,4,1,16,1,2,0,285,666,537,18,-1,
110,5,1,16,1,2,1,285,666,31,18,94,AL
111,5,1,16,1,2,2,323,666,31,18,94,AT
112,5,1,16,1,2,3,363,666,30,18,95,BE
113,5,1,16,1,2,4,403,666,32,18,95,BG
114,5,1,16,1,2,5,445,666,31,18,95,CH
115,5,1,16,1,2,6,486,666,32,18,96,CY
116,5,1,16,1,2,7,526,666,30,18,96,CZ
117,5,1,16,1,2,8,565,666,30,18,96,DE
118,5,1,16,1,2,9,605,666,32,18,93,DK
119,5,1,16,1,2,10,646,666,29,18,93,EE
120,5,1,16,1,2,11,684,666,29,18,93,ES
121,5,1,16,1,2,12,723,666,99,18,86,FIFRGB
122,4,1,16,1,3,0,285,699,539,18,-1,
123,5,1,16,1,3,1,285,699,35,18,94,GR
124,5,1,16,1,3,2,328,699,32,18,94,HR
125,5,1,16,1,3,3,368,699,14,18,41,HU
126,5,1,16,1,3,4,385,699,43,18,41,IE
127,5,1,16,1,3,5,436,699,20,18,47,IS
128,5,1,16,1,3,6,464,699,20,18,47,IT
129,5,1,16,1,3,7,492,699,54,18,83,LILT
130,5,1,16,1,3,8,554,699,28,18,75,LU
131,5,1,16,1,3,9,591,699,28,18,75,LV
132,5,1,16,1,3,10,627,699,35,18,95,MC
133,5,1,16,1,3,11,670,699,35,18,94,MK
134,5,1,16,1,3,12,713,699,32,18,93,MT
135,5,1,16,1,3,13,753,699,29,18,20,NL
136,5,1,16,1,3,14,791,699,33,18,20,NO
137,4,1,16,1,4,0,286,732,336,18,-1,
138,5,1,16,1,4,1,286,732,28,18,95,PL
